player,status,action,min_price,max_price,avg_price,transactions,owners_bid
Cedric Tillman,failed,add,0,33,7.928571428571429,14,"['Fleaflicker78', 'marvinchiefsHB', 'Ray612', 'hering08', 'Matos1406', 'Labestianegra2512', 'BillsMafia1990Niko', 'konzi1988', 'simonton18', 'Merlyn112', 'Silberrucken', 'DerDaniel96', 'LoriMad', 'DonXandl']"
Cedric Tillman,complete,add,0,21,12.0,7,"['paulhandball', 'Ray612', 'KevinClubKaputt', 'kingluki18', 'Gronkzone77', 'DerEl', 'BigSchroe']"
Chad Ryland,complete,add,0,1,0.3333333333333333,3,"['Kalmo', 'Labestianegra2512', '1hailmurray']"
Chad Ryland,failed,add,0,0,0.0,1,['piczpek38']
Chicago Bears,complete,add,0,0,0.0,2,"['mogli4dk', 'bills4bowl']"
Chig Okonkwo,failed,add,0,4,1.3333333333333333,3,"['DJRedhead', 'hilbenbauer10', 'ESAChargers']"
Chig Okonkwo,complete,add,2,2,2.0,1,['anda42']
Christian Kirk,failed,add,25,25,25.0,1,['BillsMafia1990Niko']
DJ Giddens,complete,add,0,11,5.2,5,"['lubithenoobie', '19Loki99', 'Jubie', '1hailmurray', 'GreenWolvesB']"
DJ Giddens,failed,add,0,0,0.0,1,['GM29']
Dallas Cowboys,complete,add,0,7,1.1764705882352942,17,"['DrFrisco54', 'iamseanofthedead', 'Fathinjo40', 'MaGla44', 'Matze88', 'Vitchill', 'simmerl77', 'TheRealCF6', 'Pokernatic', 'Kare84', 'copyK0', 'tibas77', 'Tobi2201', 'OpaFritschi', 'sachsi', 'doubleyou14', 'KaosKoyote']"
Dallas Cowboys,failed,add,0,1,0.4,5,"['Matos1406', 'Kronic1981', 'jokeraw', 'Tigro1941', 'Bobo76']"
Dallas Goedert,complete,add,0,16,7.333333333333333,9,"['Mandoloki', 'FordFan870', 'Kleinert47', 'Ram_pag3', 'DJRedhead', 'austrosaint', 'hilbenbauer10', 'ESAChargers', 'piczpek38']"
Dallas Goedert,failed,add,0,6,1.8888888888888888,9,"['Daydrinkling', 'Kingslayer4', 'BradyGaga92', 'kerntschi82', 'Puppenkiste', 'WinnieW', 'matsrun', 'Sebs23']"
Dalton Schultz,complete,add,6,6,6.0,1,['tsgpato']
Dalton Schultz,failed,add,0,0,0.0,1,['GoKingsGo']
Daniel Carlson,complete,add,0,1,0.5,4,"['kerntschi82', 'OkillyDokilly88', 'MunichPanther', 'Andykonsole']"
Daniel Carlson,failed,add,0,0,0.0,1,['Andykonsole']
Daniel Jones,complete,add,1,14,5.375,8,"['Brandi16', 'FantasyRoli', 'Kronic1981', 'PfalzkindBallers85', 'Kingslayer4', 'Kap4ever', 'copyK0', 'MickstarMuecke']"
Daniel Jones,failed,add,0,6,3.0,2,"['DonXandl', 'heckm']"
DeMario Douglas,complete,add,0,6,3.0,2,"['Mo1900', 'MrNilsson']"
Detroit Lions,failed,add,0,0,0.0,1,['Matos1406']
Dont'e Thornton,complete,add,3,3,3.0,1,['Pfalzer26']
Elic Ayomanor,failed,add,0,39,9.1,10,"['Tohuwabohu', 'brunzky', 'Matos1406', 'd4ddyOnToUr', 'BraveCompanions', 'GM29', 'Merlyn112', 'GoPats1992', 'Puppenkiste', 'tsgpato']"
Elic Ayomanor,complete,add,2,8,5.0,5,"['Deckhard', 'PummelPanda', 'Rasamoah', 'marcohuppa91', 'PM8809']"
Geno Smith,failed,add,14,14,14.0,1,['bblaster']
Green Bay Packers,complete,add,0,2,0.75,4,"['Fipsche', 'GreenBayKorber', 'PackersHamburg', 'MrFumble']"
Green Bay Packers,failed,add,0,0,0.0,1,['bob2202']
